"grid_location","background","foreground"
"A10",0,0
"A12",16003663,6661741
"A14",11603261,5022170
"A16",20207480,9142235
"A18",71088298,23053607
"A2",15958363,11740205
"A20",17229910,10038925
"A4",10303489,10561750
"A6",9384899,8536323
"A8",42446300,23534939
"B1",2715718,4444140
"B11",37147989,16980232
"B13",9442039,3095500
"B15",3799586,1289675
"B17",23041734,10121282
"B19",2526683,3499184
"B3",9661045,11572305
"B5",4281577,5655975
"B7",19095712,14108313
"B9",41970965,21841935
"C10",283044967,113844088
"C12",2381845,1218990
"C14",9717867,3219420
"C16",3791077,2487366
"C18",10906520,9224324
"C2",6066603,9460029
"C20",23009266,23750810
"C4",2875519,4306458
"C6",1881762,2408988
"C8",70117519,32973910
"D1",10504197,17360987
"D11",69507,44915
"D13",185203,117681
"D15",8913513,2876755
"D17",30184818,10886351
"D19",1498047,2624731
"D3",3196574,5087865
"D5",3370452,4736827
"D7",10177058,4388965
"D9",338217,292195
"E10",430475,277296
"E12",378188,239149
"E14",2443673,1366050
"E16",50613649,25957302
"E18",9299787,9867585
"E2",3670765,7000406
"E20",920410,1229659
"E4",3219019,4987551
"E6",1919595,1734136
"E8",1111967,685767
"F1",4525491,7479358
"F11",890495,501145
"F13",654683,351769
"F15",19411889,7175068
"F17",84060096,51065621
"F19",3217846,5866276
"F3",28763946,37488971
"F5",61654042,37815221
"F7",12807862,4473754
"F9",802211,424061
"G10",807658,377855
"G12",2623080,1317430
"G14",3827478,1626301
"G16",34771506,18493929
"G18",5216099,5043373
"G2",7423233,12873033
"G20",959610,1862549
"G4",8404347,10189916
"G6",107611395,60322920
"G8",25945730,8589701
"H1",3167739,4972514
"H11",2874544,1582197
"H13",4996634,2875136
"H15",5069923,2748327
"H17",15375250,10560279
"H19",525620,688951
"H3",26033117,29434246
"H5",43225322,30756700
"H7",104460920,57913791
"H9",1705822,681439
